#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
40000,79.99999999999496,-507475.9006409561,83649.15252030035,-423826.7481206558,298.67832118942846,332.69364277754414,1.0354275157641772,0
80000,160.00000000003587,-507633.7443909561,83811.45119789033,-423822.2931930658,299.25782612275185,332.69364277754414,1.0354275157641772,250
120000,240.00000000041786,-507222.2883362686,84093.14230493037,-423129.14603133826,300.26363460269187,332.69364277754414,1.0354275157641772,250
160000,320.00000000079984,-506518.1042542374,84013.69335129502,-422504.41090294236,299.9799535446404,332.69364277754414,1.0354275157641772,249
200000,400.00000000118183,-506492.7619690811,84345.32722202071,-422147.4347470604,301.1640880489782,332.69364277754414,1.0354275157641772,249
240000,480.0000000015638,-507077.4514222061,84461.42150781304,-422616.0299143931,301.5786152179381,332.69364277754414,1.0354275157641772,250
280000,560.0000000005815,-508213.2541565811,83489.41012693918,-424723.84402964194,298.10794374465615,332.69364277754414,1.0354275157641772,250
320000,639.9999999986898,-507174.1506409561,84285.24280553905,-422888.9078354171,300.94955015942776,332.69364277754414,1.0354275157641772,249
360000,719.999999996798,-506642.5617737686,84248.28581963468,-422394.27595413395,300.8175912552002,332.69364277754414,1.0354275157641772,249
400000,799.9999999949063,-508261.1838440811,84298.36702336487,-423962.81682071625,300.9964115947087,332.69364277754414,1.0354275157641772,249
440000,879.9999999930145,-507914.9738831436,84493.45507714793,-423421.5188059957,301.6929945322812,332.69364277754414,1.0354275157641772,249
480000,959.9999999911228,-507707.1691956436,84037.96129018313,-423669.2079054605,300.06660483789847,332.69364277754414,1.0354275157641772,249
520000,1039.9999999892311,-507176.3571839249,83797.54529563664,-423378.81188828824,299.2081735989113,332.69364277754414,1.0354275157641772,250
560000,1119.9999999873394,-507573.9553284561,83109.80800233793,-424464.1473261182,296.75253341616144,332.69364277754414,1.0354275157641772,250
600000,1199.9999999854476,-507167.9856018936,83401.81255554745,-423766.1730463462,297.7951671680231,332.69364277754414,1.0354275157641772,250
640000,1279.9999999835559,-507386.8337464249,84084.51894284051,-423302.31480358436,300.23284395826323,332.69364277754414,1.0354275157641772,249
680000,1359.9999999816641,-507020.1506409561,83977.33450157638,-423042.81613937975,299.850130350177,332.69364277754414,1.0354275157641772,250
720000,1439.9999999797724,-506387.0671448624,84674.62903246304,-421712.4381123993,302.3398956805461,332.69364277754414,1.0354275157641772,250
760000,1519.9999999778806,-507277.7131409561,84320.45212486913,-422957.261016087,301.0752688316543,332.69364277754414,1.0354275157641772,250
800000,1599.9999999759889,-506986.6110901749,83539.47115130402,-423447.13993887085,298.28669203156414,332.69364277754414,1.0354275157641772,250
840000,1679.9999999740971,-506735.0969300186,84134.15482210554,-422600.9421079131,300.4100742187377,332.69364277754414,1.0354275157641772,250
880000,1759.9999999722054,-508309.1125550186,83861.98635632178,-424447.12619869685,299.4382673564832,332.69364277754414,1.0354275157641772,250
